Block,Treatment,Replicate,Genotype,Individual,Callus,Root
3,IBA_05,3,G1,b10_1,0,3
3,IBA_1,1,G1,b10_1,1,1
3,IBA_1,2,G1,b10_1,1,3
3,IBA_1,3,G1,b10_1,1,9
3,NAA_05,1,G1,b10_1,1,2
3,NAA_05,2,G1,b10_1,1,2
3,NAA_05,3,G1,b10_1,1,0
3,NAA_1,1,G1,b10_1,1,1
3,NAA_1,2,G1,b10_1,1,0
3,NAA_1,3,G1,b10_1,0,0
3,Control,1,G1,b10_1,1,0
3,Control,2,G1,b10_1,0,0
3,Control,3,G1,b10_1,0,0
3,IBA_05,1,G1,b7_1,0,0
3,IBA_05,2,G1,b7_1,0,0
3,IBA_05,3,G1,b7_1,0,0
3,IBA_1,1,G1,b7_1,0,0
3,IBA_1,2,G1,b7_1,0,0
3,IBA_1,3,G1,b7_1,0,0
3,NAA_05,1,G1,b7_1,0,0
3,NAA_05,2,G1,b7_1,0,0
3,NAA_05,3,G1,b7_1,0,0
3,NAA_1,1,G1,b7_1,0,0
3,NAA_1,2,G1,b7_1,0,0
3,NAA_1,3,G1,b7_1,0,0
3,Control,1,G1,b7_1,0,0
3,Control,2,G1,b7_1,0,0
3,Control,3,G1,b7_1,0,0
