Block,Treatment,Replicate,Genotype,Individual,Callus,Root
2,IBA_05,2,G2,b7_1,1,2
2,IBA_05,3,G2,b7_1,1,1
2,IBA_1,1,G2,b7_1,1,2
2,IBA_1,2,G2,b7_1,1,1
2,IBA_1,3,G2,b7_1,1,0
2,NAA_05,1,G2,b7_1,1,1
2,NAA_05,2,G2,b7_1,1,3
2,NAA_05,3,G2,b7_1,1,1
2,NAA_1,1,G2,b7_1,1,0
2,NAA_1,2,G2,b7_1,1,2
2,NAA_1,3,G2,b7_1,1,3
2,Control,1,G2,b7_1,0,0
2,Control,2,G2,b7_1,0,0
2,Control,3,G2,b7_1,0,1
2,IBA_05,1,G1,b4_1,1,0
2,IBA_05,2,G1,b4_1,1,0
2,IBA_05,3,G1,b4_1,1,3
2,IBA_1,1,G1,b4_1,1,0
2,IBA_1,2,G1,b4_1,1,0
2,IBA_1,3,G1,b4_1,1,1
2,NAA_05,1,G1,b4_1,1,1
2,NAA_05,2,G1,b4_1,1,0
2,NAA_05,3,G1,b4_1,1,0
2,NAA_1,1,G1,b4_1,1,0
2,NAA_1,2,G1,b4_1,1,1
2,NAA_1,3,G1,b4_1,1,1
2,Control,1,G1,b4_1,0,0
2,Control,2,G1,b4_1,0,0
2,Control,3,G1,b4_1,0,0
2,IBA_05,1,G1,b29_1,1,0
2,IBA_05,2,G1,b29_1,1,3
2,IBA_05,3,G1,b29_1,1,1
2,IBA_1,1,G1,b29_1,1,1
2,IBA_1,2,G1,b29_1,1,5
2,IBA_1,3,G1,b29_1,1,1
2,NAA_05,1,G1,b29_1,1,1
2,NAA_05,2,G1,b29_1,1,1
2,NAA_05,3,G1,b29_1,1,0
2,NAA_1,1,G1,b29_1,1,0
2,NAA_1,2,G1,b29_1,1,2
2,NAA_1,3,G1,b29_1,1,0
2,Control,1,G1,b29_1,0,0
2,Control,2,G1,b29_1,0,0
2,Control,3,G1,b29_1,0,3
2,IBA_05,1,G2,b6_1,1,0
2,IBA_05,2,G2,b6_1,1,0
2,IBA_05,3,G2,b6_1,1,0
2,IBA_1,1,G2,b6_1,1,0
2,IBA_1,2,G2,b6_1,1,0
2,IBA_1,3,G2,b6_1,1,0
2,NAA_05,1,G2,b6_1,1,1
2,NAA_05,2,G2,b6_1,1,0
2,NAA_05,3,G2,b6_1,1,2
2,NAA_1,1,G2,b6_1,1,0
2,NAA_1,2,G2,b6_1,1,0
2,NAA_1,3,G2,b6_1,1,0
2,Control,1,G2,b6_1,0,0
2,Control,2,G2,b6_1,0,0
2,Control,3,G2,b6_1,0,0
